Source,Destination,Weight
Chronic otitis media,Feeling despair,1
Chronic otitis media,Thromboembolism,1
Chronic otitis media,Thrombophilia,1
Chronic otitis media,Hematological Disease,1
Chronic otitis media,Arthrogryposis renal dysfunction cholestasis syndrome,1
Chronic otitis media,Walking pneumonia,1
Chronic otitis media,Influenza-like illness,1
Chronic otitis media,Immune Complex Diseases,1
Chronic otitis media,Paracoccidioidomycosis,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Herpes,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",organic disorders,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",AICARDI-GOUTIERES SYNDROME 1,3
"SHORT STATURE, IDIOPATHIC, X-LINKED",Fever with chills,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Generalized fatigue,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Fatigue,17
"SHORT STATURE, IDIOPATHIC, X-LINKED",Sore to touch,4
"SHORT STATURE, IDIOPATHIC, X-LINKED",Allergic disposition,10
"SHORT STATURE, IDIOPATHIC, X-LINKED",Diabetes,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Common Cold,11
"SHORT STATURE, IDIOPATHIC, X-LINKED",Influenza,30
"SHORT STATURE, IDIOPATHIC, X-LINKED",Pancreatitis,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Rhinorrhea,8
"SHORT STATURE, IDIOPATHIC, X-LINKED",Coughing,20
"SHORT STATURE, IDIOPATHIC, X-LINKED",Asthenia,13
"SHORT STATURE, IDIOPATHIC, X-LINKED",Dyspnea,9
"SHORT STATURE, IDIOPATHIC, X-LINKED",Blind Vision,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Idiopathic Multicentric Osteolyses,3
"SHORT STATURE, IDIOPATHIC, X-LINKED","Hyperostosis, Diffuse Idiopathic Skeletal",1
"SHORT STATURE, IDIOPATHIC, X-LINKED",PREMATURE CHROMATID SEPARATION TRAIT,3
"SHORT STATURE, IDIOPATHIC, X-LINKED",Halitosis,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Myocardial Infarction,4
"SHORT STATURE, IDIOPATHIC, X-LINKED",Dental caries,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Actual Inability To Taste,3
"SHORT STATURE, IDIOPATHIC, X-LINKED",Other symptoms,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Gout,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",gastrointestinal gas,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Seizures,3
"SHORT STATURE, IDIOPATHIC, X-LINKED",Chronic Obstructive Airway Disease,8
"SHORT STATURE, IDIOPATHIC, X-LINKED",Cardiovascular symptoms,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Abnormal breathing,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Smallpox,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Pharyngitis,6
"SHORT STATURE, IDIOPATHIC, X-LINKED",Wolf-Hirschhorn Syndrome,8
"SHORT STATURE, IDIOPATHIC, X-LINKED",Sore Throat,6
"SHORT STATURE, IDIOPATHIC, X-LINKED",Headache,9
"SHORT STATURE, IDIOPATHIC, X-LINKED",Pallister-Hall syndrome,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Signs and Symptoms,6
"SHORT STATURE, IDIOPATHIC, X-LINKED",Temporohyoid osteoarthropathy,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",MAMMARY-DIGITAL-NAIL SYNDROME,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",BODY PAIN,6
"SHORT STATURE, IDIOPATHIC, X-LINKED",Diarrhea,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Vomiting,3
"SHORT STATURE, IDIOPATHIC, X-LINKED",Nausea,6
"SHORT STATURE, IDIOPATHIC, X-LINKED",Myalgia,2
"SHORT STATURE, IDIOPATHIC, X-LINKED","Tachycardia, Ectopic Junctional",2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Multi-infarct dementia,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Subacute thyroiditis,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Pyotraumatic dermatitis,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Oculocerebrocutaneous syndrome,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Mass of body region,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Flare,5
"SHORT STATURE, IDIOPATHIC, X-LINKED",Catch - Finding of sensory dimension of pain,4
"SHORT STATURE, IDIOPATHIC, X-LINKED",slight fever,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Poliomyelitis,2
"SHORT STATURE, IDIOPATHIC, X-LINKED","Liver Abscess, Amebic",4
"SHORT STATURE, IDIOPATHIC, X-LINKED",Measles,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Dysosteosclerosis,6
"SHORT STATURE, IDIOPATHIC, X-LINKED",Clouded consciousness,8
"SHORT STATURE, IDIOPATHIC, X-LINKED",Chronic disease,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Chills,7
"SHORT STATURE, IDIOPATHIC, X-LINKED",Papillon-Lefevre Disease,3
"SHORT STATURE, IDIOPATHIC, X-LINKED",Pneumonia,11
"SHORT STATURE, IDIOPATHIC, X-LINKED","Pneumonia, Bacterial",4
"SHORT STATURE, IDIOPATHIC, X-LINKED",primary infection nos,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Asthma,5
"SHORT STATURE, IDIOPATHIC, X-LINKED",Obesity,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Hypertensive disease,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Diabetes Mellitus,3
"SHORT STATURE, IDIOPATHIC, X-LINKED",Lung diseases,4
"SHORT STATURE, IDIOPATHIC, X-LINKED",Nervousness,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Vitamin D Deficiency,6
"SHORT STATURE, IDIOPATHIC, X-LINKED",Flushing,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",flu symptoms,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Anorexia,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Infantile Neuroaxonal Dystrophy,12
"SHORT STATURE, IDIOPATHIC, X-LINKED",Dry cough,10
"SHORT STATURE, IDIOPATHIC, X-LINKED",Lupus Erythematosus,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Malaria,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Flatulence,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Respiratory problems,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Malaise,7
"SHORT STATURE, IDIOPATHIC, X-LINKED",Tremor,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Decrease in appetite,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Upset stomach,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Exhaustion,3
"SHORT STATURE, IDIOPATHIC, X-LINKED",Upper Respiratory Infections,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",HEART PROBLEM,3
"SHORT STATURE, IDIOPATHIC, X-LINKED",Tired,13
"SHORT STATURE, IDIOPATHIC, X-LINKED",Pulmonary congestion,3
"SHORT STATURE, IDIOPATHIC, X-LINKED",Hepatic Encephalopathy,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Toxic liver disease,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Acute infectious disease,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Retinal damage,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Multiple Epiphyseal Dysplasia,9
"SHORT STATURE, IDIOPATHIC, X-LINKED",Rosacea,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Prieto X-linked mental retardation syndrome,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Muscular stiffness,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Sighing respiration,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Bleeding ulcer,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Influenza-like symptoms,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Fish-Eye Disease,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Adult Fanconi syndrome,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Sick Sinus Syndrome,1
"SHORT STATURE, IDIOPATHIC, X-LINKED","SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS SYNDROME",2
"SHORT STATURE, IDIOPATHIC, X-LINKED","POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE",2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Sharp pain,1
"SHORT STATURE, IDIOPATHIC, X-LINKED","Amyotrophic Lateral Sclerosis, Sporadic",2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Streptococcal lymphadenitis of swine,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Reflex Sympathetic Dystrophy,3
"SHORT STATURE, IDIOPATHIC, X-LINKED",Meningococcal meningitis,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Sinusitis,4
"SHORT STATURE, IDIOPATHIC, X-LINKED",Duane Retraction Syndrome,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Diabetic Retinopathy,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Pruritus,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Hamman-Rich syndrome,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Hybrid Resistance,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Lung Problem,4
"SHORT STATURE, IDIOPATHIC, X-LINKED",Ache,7
"SHORT STATURE, IDIOPATHIC, X-LINKED",Redness of face,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Nasal congestion (finding),1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Malignant hyperpyrexia due to anesthesia,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Immunoglobulin A deficiency (disorder),1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Vague ill health,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Chest tightness,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Back symptoms/complaints,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Gigantism,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Episodic ataxia type 1,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Pelvic Organ Prolapse,1
"SHORT STATURE, IDIOPATHIC, X-LINKED","Infections, Hospital",1
"SHORT STATURE, IDIOPATHIC, X-LINKED",MRSA - Methicillin resistant Staphylococcus aureus infection,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Sudden infant death syndrome,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Ulnar-mammary syndrome,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Skin lesion,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Myopic astigmatism,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Cor pulmonale,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",microbial disease,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Paramyotonia Congenita (disorder),1
"SHORT STATURE, IDIOPATHIC, X-LINKED",STUVE-WIEDEMANN SYNDROME,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Staphylococcus aureus infection,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Dwarfism,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",skin damage,1
"SHORT STATURE, IDIOPATHIC, X-LINKED","Pain, Postoperative",1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Visual halos (disorder),1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Exanthema,2
"SHORT STATURE, IDIOPATHIC, X-LINKED","Lupus Erythematosus, Discoid",1
"SHORT STATURE, IDIOPATHIC, X-LINKED","Anemia, Diamond-Blackfan",2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Dizziness,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Acquired Immunodeficiency Syndrome,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Acute infectious lymphocytosis,1
"SHORT STATURE, IDIOPATHIC, X-LINKED","Plague, Septicemic",1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Plague,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Marinesco-Sjogren syndrome,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Balkan Nephropathy,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Anus Diseases,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Refractive Errors,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Axenfeld-Rieger syndrome,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Respiratory distress,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",chest burning,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Breathing abnormally deep,5
"SHORT STATURE, IDIOPATHIC, X-LINKED",Bronchitis,4
"SHORT STATURE, IDIOPATHIC, X-LINKED",Chest Pain,5
"SHORT STATURE, IDIOPATHIC, X-LINKED",Dehydration,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Neurologic Symptoms,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Syncope,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Recurrent disease,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Malnutrition,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Hot flushes,4
"SHORT STATURE, IDIOPATHIC, X-LINKED",Sleeplessness,5
"SHORT STATURE, IDIOPATHIC, X-LINKED",Fibromyalgia,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",spells (neurological symptom),1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Chronic Fatigue Syndrome,4
"SHORT STATURE, IDIOPATHIC, X-LINKED",Congestion of throat,3
"SHORT STATURE, IDIOPATHIC, X-LINKED",Night sweats,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Fatigue - symptom,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Chest pressure,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Lower respiratory tract infection,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Autoimmune Diseases,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Hepatorenal Syndrome,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Dyssomnias,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Hypotrichosis simplex,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Muscle twitch,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Punctate inner choroidopathy,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Productive cough,4
"SHORT STATURE, IDIOPATHIC, X-LINKED",Coffin-Siris syndrome,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Premenstrual syndrome,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Spasm,5
"SHORT STATURE, IDIOPATHIC, X-LINKED",Confluent and Reticulate Papillomatosis,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Classical Lissencephaly,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Acute lower respiratory tract infection,1
"SHORT STATURE, IDIOPATHIC, X-LINKED","Nephritis, Interstitial",1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Age related macular degeneration,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Aleutian Mink Disease,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",MUNGAN SYNDROME,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Suffocated,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Sore skin,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Struck,1
"SHORT STATURE, IDIOPATHIC, X-LINKED","CHEST PAIN, SHARP",1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Infectious Mononucleosis,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",CHEST BURNING PAIN OF,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Urticaria Pigmentosa,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Kidney Failure,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Critical Illness,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Premenopausal symptoms,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Streptococcal Infections,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",post viral fatigue,6
"SHORT STATURE, IDIOPATHIC, X-LINKED",Simian Acquired Immunodeficiency Syndrome,6
"SHORT STATURE, IDIOPATHIC, X-LINKED",Wiskott-Aldrich Syndrome,7
"SHORT STATURE, IDIOPATHIC, X-LINKED",Epstein,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Hepatitis,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Streptococcal sore throat,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",C/O - postviral syndrome,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Dermatofibrosis lenticularis disseminata,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Sensory Discomfort,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Heparin-induced thrombocytopenia,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Herpes zoster disease,4
"SHORT STATURE, IDIOPATHIC, X-LINKED",Decompression Sickness,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Pneumocystis jiroveci pneumonia,6
"SHORT STATURE, IDIOPATHIC, X-LINKED",Chronic Kidney Diseases,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",multiple pathologies,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Severe chronic obstructive pulmonary disease,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Circling gait,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Hashimoto Disease,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Phlebitis,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Endometriosis,1
"SHORT STATURE, IDIOPATHIC, X-LINKED","Lung Diseases, Interstitial",1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Staphylococcal Infections,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Thyroid Diseases,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Degenerative polyarthritis,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Peripheral Neuropathy,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",mitral annulus calcification,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Bronchiectasis,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Macule,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Muscle Rigidity,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Epilepsy,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",prickly feeling,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Right Flank Pain,2
"SHORT STATURE, IDIOPATHIC, X-LINKED","Reflex Epilepsy, Photosensitive",1
"SHORT STATURE, IDIOPATHIC, X-LINKED","Bronchitis, Chronic",6
"SHORT STATURE, IDIOPATHIC, X-LINKED",Cardiomyopathies,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Pertussis,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Borderline Hypertension,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Hereditary Coproporphyria,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Polymyalgia Rheumatica,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Neuroleptic Malignant Syndrome,1
"SHORT STATURE, IDIOPATHIC, X-LINKED","Malaria, Cerebral",1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Tetanus,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Melnick-Needles Syndrome,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",LAURIN-SANDROW SYNDROME,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Pain in buttock,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Breath Holding,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Sleep disturbances,1
"SHORT STATURE, IDIOPATHIC, X-LINKED","CEREBELLAR ATAXIA, NEUROPATHY, AND VESTIBULAR AREFLEXIA SYNDROME",1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Peripheral Vascular Diseases,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",Sciatica,2
"SHORT STATURE, IDIOPATHIC, X-LINKED",underlying infection,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Sinus Tachycardia,1
"SHORT STATURE, IDIOPATHIC, X-LINKED",General symptom,1
"SHORT STATURE, IDIOPATHIC, X-LINKED","Brain Damage, Chronic",1
"SHORT STATURE, IDIOPATHIC, X-LINKED",Familial Alzheimer Disease (FAD),1
Herpes,organic disorders,1
Herpes,AICARDI-GOUTIERES SYNDROME 1,1
Herpes,Fever with chills,1
Herpes,Generalized fatigue,1
Herpes,Fatigue,1
Herpes,Sore to touch,1
Herpes,Common Cold,1
Herpes,Influenza,1
Herpes,Gout,1
Herpes,Chronic Obstructive Airway Disease,1
Herpes,Curb,1
Herpes,Severe Acute Respiratory Syndrome,1
Herpes,Measles,1
Herpes,Weakness,1
Herpes,Virus Diseases,1
Herpes,Macrophage Activation Syndrome,1
Herpes,Lupus Erythematosus,1
Herpes,Malaria,1
Herpes,Cardiac Arrest,1
Herpes,Gigantism,1
Herpes,"Respiratory Distress Syndrome, Adult",1
Herpes,HIV Infections,1
Herpes,Herpesviridae Infections,1
Herpes,Rheumatoid Arthritis,1
Herpes,Inflammatory disorder,1
organic disorders,AICARDI-GOUTIERES SYNDROME 1,1
organic disorders,Fever with chills,1
organic disorders,Generalized fatigue,1
organic disorders,Fatigue,3
organic disorders,Sore to touch,1
organic disorders,Common Cold,1
organic disorders,Influenza,3
organic disorders,Coughing,4
organic disorders,Asthenia,1
organic disorders,Dyspnea,1
organic disorders,Blind Vision,2
organic disorders,Actual Inability To Taste,1
organic disorders,Other symptoms,1
organic disorders,Seizures,2
organic disorders,digestive problem,1
organic disorders,Cardiovascular symptoms,1
organic disorders,Abnormal breathing,2
organic disorders,Pallister-Hall syndrome,1
organic disorders,Influenza due to Influenza A virus subtype H1N1,1
organic disorders,Signs and Symptoms,1
organic disorders,Catch - Finding of sensory dimension of pain,2
organic disorders,"Liver Abscess, Amebic",2
organic disorders,Dysosteosclerosis,1
organic disorders,Pneumonia,1
organic disorders,Asthma,1
organic disorders,Nervousness,1
organic disorders,Infantile Neuroaxonal Dystrophy,1
organic disorders,Respiratory problems,1
organic disorders,Malaise,1
organic disorders,Decrease in appetite,1
organic disorders,Tired,3
organic disorders,Acute infectious disease,2
organic disorders,Multiple Epiphyseal Dysplasia,1
organic disorders,Muscular stiffness,2
organic disorders,Sick Sinus Syndrome,2
organic disorders,Neonatal alloimmune thrombocytopenia,1
organic disorders,"SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS SYNDROME",1
organic disorders,"Amyotrophic Lateral Sclerosis, Sporadic",1
organic disorders,Reflex Sympathetic Dystrophy,1
organic disorders,Hamman-Rich syndrome,1
organic disorders,Lung Problem,1
organic disorders,Agenesis of corpus callosum,2
organic disorders,Axenfeld-Rieger syndrome,1
organic disorders,Recurrent disease,1
organic disorders,Sleeplessness,1
organic disorders,Hepatorenal Syndrome,1
organic disorders,Spasm,1
organic disorders,MUNGAN SYNDROME,1
organic disorders,Simian Acquired Immunodeficiency Syndrome,1
organic disorders,Wiskott-Aldrich Syndrome,2
organic disorders,Dermatofibrosis lenticularis disseminata,1
organic disorders,Painful Bladder Syndrome,2
organic disorders,Melnick-Needles Syndrome,1
organic disorders,LAURIN-SANDROW SYNDROME,1
organic disorders,Pain in buttock,1
organic disorders,Breath Holding,1
organic disorders,Sleep disturbances,1
organic disorders,"Cholestasis-edema syndrome, Norwegian type",1
organic disorders,"Failure of Tooth Eruption, Primary",2
organic disorders,Dryness of eye,2
AICARDI-GOUTIERES SYNDROME 1,Fever with chills,1
AICARDI-GOUTIERES SYNDROME 1,Generalized fatigue,1
AICARDI-GOUTIERES SYNDROME 1,Fatigue,2
AICARDI-GOUTIERES SYNDROME 1,Sore to touch,1
AICARDI-GOUTIERES SYNDROME 1,Allergic disposition,2
AICARDI-GOUTIERES SYNDROME 1,Common Cold,2
AICARDI-GOUTIERES SYNDROME 1,Influenza,3
AICARDI-GOUTIERES SYNDROME 1,Coughing,2
AICARDI-GOUTIERES SYNDROME 1,Asthenia,1
AICARDI-GOUTIERES SYNDROME 1,gastrointestinal gas,1
AICARDI-GOUTIERES SYNDROME 1,Seizures,1
AICARDI-GOUTIERES SYNDROME 1,Smallpox,1
AICARDI-GOUTIERES SYNDROME 1,Pseudohypoparathyroidism,1
AICARDI-GOUTIERES SYNDROME 1,Pharyngitis,1
AICARDI-GOUTIERES SYNDROME 1,Immune System Diseases,1
AICARDI-GOUTIERES SYNDROME 1,"Pseudohypoparathyroidism, Type Ia",1
AICARDI-GOUTIERES SYNDROME 1,Phlebotomus Fever,1
AICARDI-GOUTIERES SYNDROME 1,Wolf-Hirschhorn Syndrome,1
AICARDI-GOUTIERES SYNDROME 1,Blue - symptom,1
AICARDI-GOUTIERES SYNDROME 1,Sore Throat,1
AICARDI-GOUTIERES SYNDROME 1,Headache,3
AICARDI-GOUTIERES SYNDROME 1,Signs and Symptoms,2
AICARDI-GOUTIERES SYNDROME 1,Temporohyoid osteoarthropathy,1
AICARDI-GOUTIERES SYNDROME 1,Poliomyelitis,1
AICARDI-GOUTIERES SYNDROME 1,Dysosteosclerosis,2
AICARDI-GOUTIERES SYNDROME 1,Clouded consciousness,2
AICARDI-GOUTIERES SYNDROME 1,Chronic disease,1
AICARDI-GOUTIERES SYNDROME 1,Chills,1
AICARDI-GOUTIERES SYNDROME 1,Pneumonia,1
AICARDI-GOUTIERES SYNDROME 1,Obesity,1
AICARDI-GOUTIERES SYNDROME 1,Hypertensive disease,1
AICARDI-GOUTIERES SYNDROME 1,Diabetes Mellitus,2
AICARDI-GOUTIERES SYNDROME 1,Lung diseases,2
AICARDI-GOUTIERES SYNDROME 1,flu symptoms,1
AICARDI-GOUTIERES SYNDROME 1,Infantile Neuroaxonal Dystrophy,2
AICARDI-GOUTIERES SYNDROME 1,Flatulence,1
AICARDI-GOUTIERES SYNDROME 1,Malaise,1
AICARDI-GOUTIERES SYNDROME 1,Upset stomach,1
AICARDI-GOUTIERES SYNDROME 1,HEART PROBLEM,1
AICARDI-GOUTIERES SYNDROME 1,Tired,1
AICARDI-GOUTIERES SYNDROME 1,Multiple Epiphyseal Dysplasia,1
AICARDI-GOUTIERES SYNDROME 1,Fish-Eye Disease,2
AICARDI-GOUTIERES SYNDROME 1,"POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE",1
AICARDI-GOUTIERES SYNDROME 1,Sharp pain,1
AICARDI-GOUTIERES SYNDROME 1,Reflex Sympathetic Dystrophy,1
AICARDI-GOUTIERES SYNDROME 1,Lung Problem,1
AICARDI-GOUTIERES SYNDROME 1,Ache,1
AICARDI-GOUTIERES SYNDROME 1,Malignant hyperpyrexia due to anesthesia,1
AICARDI-GOUTIERES SYNDROME 1,Myocardial Ischemia,1
AICARDI-GOUTIERES SYNDROME 1,Excessive tearing,1
AICARDI-GOUTIERES SYNDROME 1,STUVE-WIEDEMANN SYNDROME,1
AICARDI-GOUTIERES SYNDROME 1,Neonatal Jaundice,1
AICARDI-GOUTIERES SYNDROME 1,Breathing abnormally deep,1
